zip,count
89828,1
10001,8
10012,2
10036,16
10549,8
10567,7
10707,33
11103,4
11220,33
11373,25
11411,2
11429,1
11435,3
11557,3
11794,11
11804,1
11933,3
12037,2
12051,8
12054,11
12209,6
12304,1
12428,1
12563,2
12590,11
12742,3
12828,1
13346,1
13350,11
13501,15
14150,3
43125,2
43204,18
43212,1
43348,1
43402,1
44004,2
44113,1
44306,11
44432,12
44484,4
44515,5
44632,3
44691,15
45069,32
45154,8
45229,3
45237,1
45243,1
45246,4
45248,2
45439,2
45449,4
45601,13
45660,4
45697,6
73013,8
73401,2
74401,4
74536,2
74743,1
97136,2
97219,3
97220,6
97225,1
97365,1
97459,18
15137,2
15202,3
15205,2
15235,16
15417,1
15437,2
15668,3
16601,5
17043,1
17356,1
17543,1
18017,11
18336,1
18403,1
18447,1
18505,10
18507,3
18705,2
18977,1
19003,6
19006,28
19008,38
19025,4
19053,30
19104,294
19112,6
19341,114
19344,8
19353,2
19363,5
19380,177
19382,17
19438,19
19468,58
2903,2
29009,1
29055,1
29341,9
29405,7
29485,23
29525,1
29550,12
29563,2
29585,23
29588,52
29615,43
29678,1
29732,61
37034,1
37067,17
37075,26
37379,1
37618,2
37743,2
37748,9
37814,3
37849,1
37912,1
37921,1
38079,3
38326,6
38474,7
38501,57
38574,1
75002,1
75062,7
75067,10
75071,84
75116,3
75227,3
75231,63
75251,5
75402,11
75935,2
75939,1
76017,39
76031,6
76036,6
76039,10
76104,527
76248,18
76444,2
76801,10
76901,2
77022,3
77025,487
77027,5
77029,4
77044,1
77077,10
77079,10
77304,107
77446,1
77449,14
77591,50
77833,4
78009,2
78044,73
78046,26
78102,20
78217,111
78222,134
78225,2
78258,164
78332,49
78415,31
78418,11
78526,122
78543,3
78676,1
78701,11
79107,3
79720,14
79925,42
84070,2
84102,10
84123,6
84651,3
84660,4
84765,2
20147,37
22079,23
22204,13
22480,1
22601,9
22712,3
22827,1
22835,1
22922,13
23005,35
23063,1
23223,88
23234,1
23236,33
23430,5
23434,50
23452,8
23505,43
23606,47
23662,1
23666,45
23860,80
24012,25
24017,20
24084,13
24211,7
24280,4
24282,1
24614,3
24631,3
98020,1
98031,20
98034,31
98346,2
98550,9
98557,7
98569,1
98632,12
98640,2
98841,1
98944,2
53092,4
53406,1
24740,172
25136,2
25387,1
25411,1
25601,4
26105,5
26208,12
26280,12
26452,12
26505,22
26582,5
26764,3
82501,3
82901,6
83002,1
99515,2
35020,1
35083,2
35121,2
35204,1
35207,3
35594,7
35601,7
35805,2
35811,1
35816,7
35951,1
35968,2
36108,1
36280,3
36451,2
36507,15
36536,1
36549,1
36567,4
36606,3
36619,6
36732,4
36869,1
71602,9
71655,1
71801,10
71909,1
72012,2
72396,2
72503,1
72740,1
85008,39
85017,1
85029,11
85138,1
85283,45
85301,9
85364,295
85541,12
85546,15
85742,11
85749,3
86023,3
86025,4
86305,81
86333,1
86409,53
90006,3
90063,1
90503,170
90623,22
90640,134
90805,110
91030,72
91105,285
91108,15
91208,36
91367,3
91423,5
91706,9
91739,1
91766,24
91950,23
92026,14
92028,35
92056,75
92071,7
92124,1
92127,1
92154,3
92254,4
92317,1
92504,4
92507,92
92571,7
92584,24
92595,28
92648,17
92708,174
92805,30
92844,40
92870,22
92879,84
92881,10
93101,1
93223,10
93245,2
93286,20
93405,8
93422,2
93455,12
93561,7
93609,2
93656,1
93702,1
93906,27
94024,4
94108,20
94538,3
94583,72
94598,243
94925,2
94941,1
94952,1
95062,3
95116,31
95129,5
95492,3
95608,12
95661,10
96084,9
96130,10
96145,1
80005,66
80026,26
80108,2
80113,100
80219,12
80222,17
80229,15
80236,5
80504,1
80524,14
80620,33
81621,1
81624,1
6470,1
6518,1
19701,27
19706,4
19709,51
19713,327
19810,65
19971,25
32011,2
32046,1
32081,6
32132,35
32177,39
32202,4
32206,2
32303,7
32344,10
32359,1
32501,22
32563,3
32619,10
32656,16
32701,27
32730,1
32771,51
32827,13
32832,3
32905,6
33004,19
33026,74
33034,10
33050,2
33054,15
33055,22
33063,147
33071,18
33139,25
33141,4
33144,78
33178,16
33301,17
33306,19
33308,231
